Product,Price,Category,Shades,Description
Zaron Healthy Glow Liquid Foundation,10990,Foundation,"FZ10,FZ15,FZ20,FZ25,Z35,FZ40.FZ45","Healthy natural glow: Provides a radiant finish.  Full coverage: Concealing foundation for a flawless look.  Luxurious, seamless, and comfortable matte cover: Ensures a smooth and non-cakey finish.  All-day wear: Long-lasting formula.  Oil control: Helps manage oil production for a matte finish.  Flawless natural finish: Blends well with the skin for a natural appearance. This foundation is designed to provide a full coverage look while maintaining a natural, glowing finish, suitable for all-day wear. AVAILABLE IN 8 SHADES"
Zaron Mattifying powder,9300,Powder,"ZZ10,ZZ15,ZZ20,ZZ25,ZZ30,ZZ35,ZZ60,ZZ65","Rich full coverage, Blurs out imperfections, All-day wear, Flawless finish, Buildable formula"
Zaron Maxi Blend compact powder,9300,Powder,"XZ05,XZ10,XZ15,XZ20,XZ30,XZ35","Rich full coverage, Blurs out imperfections, All-day wear, Flawless finish, Buildable formula"
Zaron 5 in 1 Facelift,10750,,"Shell,Yolk,Dim,Toffe,Coffee,Neutral","A weightless, easily blendable,makeup product which acts as a concealer,contur,highlighter. Infused with vitamin c and hyaluronic acid that hydrates your skin as well as blurs our fine lines and wrinkles."
Zaron Face Primer,10150,,,
Zaron Hydrating Serum,11550,,,
Zaron Bronzer Palette(Gold Crush),7220,,,
Zaron Perfect Finish,9450,,,"Exclusive Formular that extends makeup wear, hydrating formular, all-day wear, refreshing cool feel. Can be used before, after and during makeup, can also be used without makeup for hydrating benefits."
Zaron Oil Block Mattifier,10000,,,
Zaron Brown Skin Compact Powder,11650,Powder,"Cocoa,Biscuit,Brownie,Latte,Almond,Nog,Sand,Ray,Tan,Brick,Dawn","A luxurious range that suits a wide range of diverse skintones, and undertones, it has a much improved formular that comes in more diverse shades, sweat and humidty resistant. Transfer proof and leaves a glowy matte finish"
Zaron Brown Skin Liquid Foundation,12620,Foundation,"Cottage,Chedder,Sun,Canvass,Wood,Toasted,Khaki,Choc,Dusk,Nut,Leather,Culture","A luxurious range that suits a wide range of diverse skintones, and undertones, it has a much improved formular that comes in more diverse shades, sweat and humidty resistant. Transfer proof and leaves a glowy matte finish"
Zaron Veil Highlighter/ Setting Powder,8720,Powder,"Cruise,Charm,Clear,Crystal",
Zaron Cheeky Liquid Blush,6180,,,
Zaron Chisel'D Palette,12460,,"Storm,Tornado,Dew,Hail",
Zaron Liquid Concealer/highlighter,6700,Concealer,,
Zaron Prime and pop eyeshadow,7750,Eyeshadow,,
Zaron 9-in-1 eyeshadow palette,4720,Eyeshadow,,
Zaron Axe liquid eyeliner,5920,Eyeliner,,
Zaron Foxy Duo eyeliner,10780,Eyeliner,,
